iter	Passed	Remaining
468	716	811
469	717	809
470	718	807
471	719	805
472	720	803
473	721	801
474	722	798
475	724	797
476	725	795
477	727	794
478	728	792
479	729	789
480	730	787
481	731	785
482	732	783
483	733	781
484	734	779
485	735	777
486	736	776
487	738	774
488	739	772
489	741	771
490	742	769
491	743	768
492	745	766
493	746	764
494	747	762
495	749	761
496	750	759
497	751	757
498	753	756
499	754	754
500	755	752
501	756	750
502	758	748
503	759	747
504	760	745
505	761	743
506	762	741
507	763	739
508	765	737
509	766	735
510	767	734
511	768	732
512	769	730
513	771	729
514	772	727
515	773	725
516	774	723
517	776	722
518	777	720
519	778	719
520	780	717
521	781	715
522	782	713
523	783	711
524	784	710
525	786	708
526	787	706
527	788	705
528	789	703
529	790	701
530	792	699
531	793	698
532	794	696
533	795	694
534	797	692
535	798	691
536	800	689
537	801	688
538	802	686
539	803	684
540	805	683
541	807	682
542	808	680
543	809	678
544	810	676
545	811	674
546	813	673
547	814	672
548	816	670
549	817	668
550	818	667
551	819	665
552	821	663
553	822	662
554	823	660
555	824	658
556	825	656
557	827	655
558	828	653
559	829	651
560	830	650
561	832	648
562	833	646
563	834	645
564	835	643
565	837	641
566	838	640
567	839	638
568	840	636
569	841	635
570	843	633
571	844	632
572	846	630
573	847	628
574	848	627
575	849	625
576	850	623
577	852	622
578	853	620
579	854	619
580	856	617
581	857	616
582	859	614
583	861	613
584	862	611
585	863	610
586	864	608
587	866	606
588	867	605
589	868	603
590	869	601
591	870	600
592	872	598
593	874	597
594	875	595
595	876	594
596	877	592
597	879	591
598	880	589
599	882	588
600	883	586
601	884	585
602	886	583
603	887	581
604	889	580
605	890	579
606	892	577
607	893	576
608	894	574
609	895	572
610	897	571
611	898	569
612	899	567
613	900	566
614	902	564
615	903	563
616	905	561
617	906	560
618	907	558
619	909	557
620	910	555
621	911	553
622	912	552
623	914	550
624	915	549
625	916	547
626	918	546
627	920	545
628	921	543
629	922	541
630	923	540
631	925	538
632	926	537
633	927	535
634	928	533
635	929	532
636	931	530
637	932	529
638	934	527
639	935	526
640	936	524
641	937	522
642	938	521
643	940	519
644	941	518
645	942	516
646	943	514
647	944	513
648	946	511
649	947	510
650	949	508
651	950	507
652	951	505
653	952	504
654	954	502
655	955	501
656	956	499
657	957	497
658	959	496
659	961	495
660	972	498
661	974	497
662	976	496
663	978	494
664	979	493
665	981	492
666	982	490
667	983	488
668	985	487
669	986	485
670	987	484
671	989	482
672	989	481
673	991	479
674	992	478
675	994	476
676	995	474
677	996	473
678	997	471
679	998	470
680	1000	468
681	1001	466
682	1002	465
683	1004	463
684	1005	462
685	1007	461
686	1009	460
687	1011	458
688	1012	457
689	1014	455
690	1015	454
691	1017	452
692	1018	451
693	1019	449
694	1021	448
695	1023	447
696	1025	445
697	1026	444
698	1027	442
699	1029	441
700	1030	439
701	1032	438
702	1033	436
703	1034	435
704	1036	433
705	1038	432
706	1039	430
707	1040	429
708	1042	427
709	1043	426
710	1045	424
711	1046	423
712	1048	421
713	1049	420
714	1051	418
715	1052	417
716	1053	415
717	1054	414
718	1055	412
719	1057	411
720	1058	409
721	1059	407
722	1060	406
723	1062	404
724	1063	403
725	1064	401
726	1066	400
727	1068	399
728	1069	397
729	1070	396
730	1072	394
731	1073	392
732	1074	391
733	1075	389
734	1076	388
735	1077	386
736	1079	385
737	1081	383
738	1082	382
739	1083	380
740	1084	378
741	1085	377
742	1086	375
743	1087	374
744	1088	372
745	1089	370
746	1090	369
747	1091	367
748	1092	366
749	1094	364
750	1095	363
751	1096	361
752	1097	360
753	1098	358
754	1099	356
755	1100	355
756	1101	353
757	1102	352
758	1103	350
759	1105	348
760	1106	347
761	1107	346
762	1109	344
763	1111	343
764	1112	341
765	1113	340
766	1114	338
767	1116	337
768	1117	335
769	1118	334
770	1120	332
771	1121	331
772	1122	329
773	1123	327
774	1124	326
775	1125	324
776	1126	323
777	1127	321
778	1128	320
779	1130	318
780	1131	317
781	1132	315
782	1133	314
783	1134	312
784	1135	310
785	1136	309
786	1137	307
787	1138	306
788	1140	304
789	1141	303
790	1142	301
791	1143	300
792	1145	298
793	1146	297
794	1147	295
795	1148	294
796	1149	292
797	1150	291
798	1151	289
799	1153	288
800	1154	286
801	1155	285
802	1157	283
803	1158	282
804	1159	280
805	1160	279
806	1161	277
807	1163	276
808	1164	274
809	1165	273
810	1166	271
811	1168	270
812	1169	269
